"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2020","37,500.00","37,500.00","39,000.00","36,000.00","-","0.00%"
"Apr 30, 2020","37,500.00","37,500.00","39,000.00","36,000.00","-","0.00%"
"Apr 29, 2020","37,500.00","37,500.00","39,000.00","36,000.00","-","0.00%"
"Apr 28, 2020","37,500.00","37,500.00","39,000.00","36,000.00","-","-1.32%"
"Apr 27, 2020","38,000.00","38,000.00","39,500.00","36,500.00","-","0.00%"
"Apr 24, 2020","38,000.00","38,000.00","39,500.00","36,500.00","-","-1.30%"
"Apr 23, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Apr 22, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Apr 21, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Apr 20, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Apr 17, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Apr 16, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Apr 15, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","-1.28%"
"Apr 14, 2020","39,000.00","39,000.00","40,500.00","37,500.00","-","0.00%"
"Apr 13, 2020","39,000.00","39,000.00","40,500.00","37,500.00","-","0.00%"
"Apr 10, 2020","39,000.00","39,000.00","40,500.00","37,500.00","-","-1.27%"
"Apr 09, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Apr 08, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Apr 07, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Apr 03, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","-1.25%"
"Apr 02, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Apr 01, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 31, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 30, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 27, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 26, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 25, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 24, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 23, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 20, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 19, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 18, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 17, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 16, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 13, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 12, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 11, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 10, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 09, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 06, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 05, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 04, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 03, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Mar 02, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","0.00%"
"Feb 28, 2020","40,000.00","40,000.00","41,500.00","38,500.00","-","1.27%"
"Feb 27, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Feb 26, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Feb 25, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","1.28%"
"Feb 24, 2020","39,000.00","39,000.00","40,500.00","37,500.00","-","0.00%"
"Feb 21, 2020","39,000.00","39,000.00","40,500.00","37,500.00","-","0.00%"
"Feb 20, 2020","39,000.00","39,000.00","40,500.00","37,500.00","-","0.00%"
"Feb 19, 2020","39,000.00","39,000.00","40,500.00","37,500.00","-","0.00%"
"Feb 18, 2020","39,000.00","39,000.00","40,500.00","37,500.00","-","0.00%"
"Feb 17, 2020","39,000.00","39,000.00","40,500.00","37,500.00","-","1.30%"
"Feb 14, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Feb 13, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Feb 12, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Feb 11, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Feb 10, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Feb 07, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Feb 06, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Feb 05, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Feb 04, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Feb 03, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Jan 21, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Jan 20, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Jan 17, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Jan 16, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Jan 15, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Jan 14, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
